Station,", Site Name ( 10)",", Site Stability ( )",", Water Table (Depth (m) )",", ""Notes"" (Description of Building or Instrument Housing)",", Topography ( )",", Nearby Faults ( )"
AICS,Aickens,Low landslide susceptibility,,"Concrete floor of 1-storey, timber-framed, steel-clad shed. Concrete block walls to 1m height in vicinity of recorder.",Flat floor of 1km wide alluvial valley; 120m from toe of steep glacialy-sculpted slope. Near confluence of of Otira and Taramakau Rivers.,"Hope-TARA (c. 1 km), Kelly (c. 3 km), Alpine (Kaniere-Tophouse) (c. 11 km), Browning (c. 12 km), Poulter (c. 16 km)"
AKUS,Auckland University School of Engineering,low Landslide Susceptibility,,Concrete ground floor of ??-storey reinforced concrete frame building,Side of broad low ridge,Wairoa N (c. 26 km) 
AMBC,Amberley HDC,Stable,,"Concrete floor of ""Lockwood"" type building (solid wood plank wall, light roof).",Canterbury Plains,"Omihi (c. 11 km), North Canterbury 1 (c. 11 km), Porters-Grey (c. 14 km), North Canterbury 2 (c. 14 km), Pegasus1NW (c. 19 km)"
APPS,Arthurs Pass Police Station,Low Landslide Susceptibility,,"Concrete floor of basement, with concrete block walls, beneath large 1-storey wooden house",Bottom of U-shaped valley on fan coming out of Rough Creek. Near centre of 300m wide valley.,"Poulter (c. 4 km), Browning (c. 11 km), Kelly (c. 14 km) "
APUS,Arapuni Dam (centre base) (Mighty River),Stable,,On concrete plinth in gallery at base of concrete gravity-arch dam,"At centre of near-vertical sided river gorge, 64m deep and 94m wide at top",Kerepehi S (c. 30 km) 
APZ,The Paps,Stable,,On concrete floor of purpose-built instrument vault,Terrace on side of moderately steep ridge,Hauroko (c. 102 km) 
ARKS,Wainuiomata Arakura School,Low Landslide Susceptibility,,"Concrete floor of boiler room, partially sunken. Half height wall of concrete then brick veneer, one storey.",On gently sloping hillside close to edge of 2km wide infilled valley,"Whitemans (c. 3 km), Wellington (Hutt Valley) (c. 6 km), Moonshine (c. 11 km), Wairarapa-Nicholson (c. 13 km), Ohariu S (c. 14 km)"
ARPS,Arnold River Power Station,Stable,7,"Concrete floor of light, 1-storey, timber-framed, steel-clad shed (about 10m x 10m)",Flat river terrace beside power house,Brunner  Anticline (c. 9 km) 
ASHS,Ashley School,Stable,,Concrete floor of 1-storey garage with concrete-block walls and iron roof (about 4m x 6m),"Broad floodplain, northern end of Canterbury plains, within 1km of Ashley River.","Ashley (c. 7 km), Springbank (c. 8 km), Cust (c. 13 km), Pegasus1NW (c. 14 km), Porters-Grey (c. 16 km)"
AVIS,Aviemore Dam (Meridian),Stable,,Concrete structure of dam on rock,Left abutment of concrete dam,"Waitangi (c. 0.5 km), Fern Gully (c. 3 km), Dryburgh (c. 6 km), Kirkliston (c. 10 km), Otematata (c. 16 km)"
AXZ,Alexandra,Stable,,On concrete floor of purpose-built instrument vault,Undulating erosion surface in schist,"OldMan (c. 5 km), Dunstan (c. 7 km) "
BCZ,Braida Crags,Stable,,On concrete floor of purpose-built instrument vault,"Crest of ridge, steep on one side, topographic effects should be considered",Takitimu 1 (c. 24 km) 
BDCS,Balclutha District Council,Low Landslide Susceptibility,,"Concrete floor of 1-storey, brick veneer clad, garage with light roof (about 10m x 15m)",Gently rolling farmland,"Settlement (c. 18 km), Akatore (c. 20 km) "
BENS,Benmore Dam (Meridian),Stable,,"Concrete floor of covered walkway, all heavy RC construction","Cut rock surface, adjacent to cut face c. 5 m high","Fern Gully (c. 4 km), Waitangi (c. 9 km), Otematata (c. 12 km), Dryburgh (c. 13 km), "
BFZ,Birch Farm,Stable,,On concrete floor of purpose-built instrument vault,Crest of broad ridge in moderately steep hill country,"Hikurangi Subduction Zone, Waitawhiti (c. 7 km), Pongaroa-Weber (c. 17 km), Mokonui NE (c. 17 km), Saunders-Waipukaka (c. 19 km)"
BKZ,Black Stump Farm,Stable,,On concrete floor of purpose-built instrument vault,On side of broad ridge in rolling hill country,"Ruahine N (c. 3 km), Kaweka (c. 6 km), Mohaka N (c. 13 km), Wheao S (c. 15 km), Patoka-Rangiora (c. 19 km)"
BSZ,Bushy Park,Stable,,On concrete floor of purpose-built instrument vault,Near base of hill in gently rolling terrain,"Nukumaru-Waitototara 1-6 (c. 6 km), Waitototara 10-11 (c. 15 km), Ridge Road-Okaia 2 (c. 17 km) "
BTWS,Nelson Brightwater,Stable,,Concrete floor of large (c. 20 m x 30 m) shed of light construction,Flat land near eastern edge of broad (about 10km wide) alluvial plain,"Waimea N (c. 2 km), Waimea S (c. 14 km) "
CACS,Christchurch Canterbury Aero Club,Stable,9,Concrete floor of hangar,Flat land of Canterbury Plain (historic flood plain of river).,Springbank (c. 21 km) 
CBGS,Christchurch Botanic Gardens,Stable,1.4,Concrete floor of small timber framed shed,Flat land on bank of Avon River.,Pegasus1NW (c. 24 km) 
CCCC,Christchurch Cathedral College,Stable,,"Concrete floor of concrete wall building (part brick-clad), 2-storeys","Canterbury Plains, central Christchurch City.",Pegasus1NW (c. 24 km) 
CCPS,Christchurch Police Station,Stable,5,"Accelerograph array in 12 storey reinforced concrete building, no free-field site. CCPS - sub basement, 501A - Basement (level 1), B - Level 6, C - Level 13 room 1301, D - Level 13 room 1309. Building piled.",Flat site on floodplain of Waimakariri River.,Pegasus1NW (c. 24 km) 
CDZ,Cobb Dam,Stable,,On concrete floor of purpose-built instrument vault,On small terrace at base of steep ridge,White Creek (c. 41 km) 
CECS,Cheviot Emergency Centre,Stable,6,"Concrete floor of 1-storey building, concrete block walls, galvanised iron roof.",Flat site in low rolling country (East margin of Cheviot syncline),"Kaiwara N (c. 7 km), Kaiwara S (c. 9 km), Hundalee (c. 14 km), Lowry (c. 19 km), "
CHHC,Christchurch Hospital,Stable,,Concrete floor of large 2-storey reinforced concrete building,"Cnaterbury Plains, central Christchurch City.",Pegasus1NW (c. 25 km) 
CMHS,Christchurch Cashmere High School,Stable,,Concrete floor of basement beneath 2-storey timber building. Basement has concrete-block walls.,Flat alluvial plain (floodplain of Waimakariri River). About 1km from Port Hills.,Pegasus1NW (c. 28 km) 
CPFS,Castlepoint Fire Station,Stable,5,Concrete floor of 1-storey building with concrete-block walls and iron roof (about 8m x 8m),Terrace at foot of low hill near sea shore.,"Hikurangi Subduction Zone, Carterton (c. 10 km), Kaumingi (c. 19 km) "
CRLZ,Canterbury Ring Laser,Stable,,,Cavern near base of broad ridge leading up to eastern Banks Peninsula,Pegasus1NW (c. 29 km) 
CSHS,Castle Hill Station,Low Landslide Susceptibility,,"Concrete floor of 1-storey farm building, concrete block walls, iron roof, about 10m x 10m",Crest of hill in rolling hill country (foothills on eastern side of Southern Alps),"Torlesse (c. 3 km), Cheeseman (c. 4 km), Porters-Grey (c. 10 km), Springfield (c. 13 km), "
CSTC,Cust School,Stable,,"Concrete floor of ""Skyline"" type garage (light timber frame, iron cladding)","Canterbury Plains, 5 km from Summerhills, 17 km from range front & 28 km from coast.","Springbank (c. 2 km), Cust (c. 3 km), Ashley (c. 6 km), Porters-Grey (c. 15 km), "
CULC,Culverden - Airlie Farm,Stable,,"Concrete floor of partly open workshop (timber pole frame, iron cladding).","On the Amuri Plains, 1 km from the range front, not close to any terraces.","Lowry (c. 11 km), Waitohi (c. 11 km), Hope-Conway (c. 20 km), Hope-Conway OS (c. 20 km), "
DCDS,Dunedin Civil Defence,Low Landslide Susceptibility,,Concrete ground floor of 1-storey reinforced concrete garage?,"North Dunedin, flat site on floor of 0.5km wide valley",Akatore (c. 13 km) 
DCZ,Deep Cove,Stable,,On concrete floor of purpose-built instrument vault,On steeply sloping side of formerly glaciated valley,Te Anau (c. 38 km) 
DFHS,Darfield High School,Stable,,"Concrete floor of 1-storey garage, concrete-block walls, iron roof, about 8m x 8m",Flat alluvial plain (floodplain of Waimakariri River). About 10km from hills on western side.,"Springbank (c. 9 km), Hororata (c. 9 km), Cust (c. 15 km), Ashley (c. 20 km), "
DGNS,Dunedin GNS,Stable,,Concrete ground floor of 2 storey reinforced concrete building. Piled.,"North Dunedin, flat site on floor of 0.5km wide valley.",Akatore (c. 15 km) 
DKHS,Dunedin Kings High School,Stable,,"Concrete floor of large shed (c. 10 m x 20 m), timber frame, steel roof girders, cement-board wall cladding, corrugated iron roof cladding.","Flat land, near western edge of St Kilda (major basin of soft material)",Akatore (c. 11 km) 
DORC,Dorie,Stable,,"Concrete floor of small ""Skyline"" type shed (light timber frame. Iron cladding).","Canterbury Plains, 55km from the range front and 5 km from the coast and the Rakaia river mouth.",Hororata (c. 48 km) 
DSLC,Dunsandel School,Stable,,"Concrete floor of ""Skyline"" type garage (light timber frame, iron cladding).","Canterbury Plains, 30 km  from the range front, 20 km from the coast.",Springbank (c. 30 km) 
DSZ,Denniston,Stable,,On concrete floor of purpose-built instrument vault,"Unlifted rock plateau, gently sloping","Paparoa RF (c. 4 km), Inangahua (c. 16 km) "
DUNS,Dunedin Corstophine Substation,Stable,,Suspended concrete floor of 10m x 10m brick veneer building with iron roof. Continuous concrete perimeter foundation probably extends to bedrock.,Cutting in slope near crest of a ridge. Appears to have been cut for housing and roading.,Akatore (c. 9 km) 
DVHS,Dannevirke High School,Stable,,Concrete floor of 1-storey building with concrete block walls and iron roof,Intermediate level terrace (about1km wide) between 2 streams,"Pahiatua (c. 4 km), Alfredton-Makuri (c. 10 km), Wellington (Pahiatua) (c. 11 km), Mohaka S (c. 11 km), Woodville (c. 11 km)"
EAZ,Earnscleugh,Stable,,On concrete floor of purpose-built instrument vault,Near edge of terrace in 30 m high rock ourcrop,"Dunstan (c. 2 km), OldMan (c. 5 km) "
EBPS,Eastbourne Police Station,Stable,,"Concrete ground floor of light, 1-storey, timber-framed building with iron roof.",Flat alluvium at foot of steep coastal ridge,"Whitemans (c. 3 km), Wellington (Hutt Valley) (c. 8 km), Moonshine (c. 12 km), Wairarapa-Nicholson (c. 12 km), Ohariu S (c. 14 km)"
EKTS,Eketahuna School,Stable,,Concrete floor of small (6m x 4m) timber shed,Elevated terrace (about 1km x 3km) surrounded by rolling hill country,"Pa Valley (c. 10 km), Wellington (Pahiatua) (c. 11 km), Alfredton-Makuri (c. 12 km), Wairarapa-Nicholson (c. 13 km), Saunders-Waipukaka (c. 14 km)"
FAHS,Feilding Agricultural High School,Stable,,Concrete floor of timber school building,Centre of broad river terrace (about 3km wide) surrounded by rolling hill countrp,"Feilding Anticline (c. 2 km), Mt Stewart (c. 8 km), Pahongina Anticline (c. 12 km), Himatangi Anticline (c. 16 km), Ruahine Reverse (c. 16 km)"
FDCS,Fairlie District Council Garage,Stable,,"Concrete floor of 2-storey building, ground floor concrete-block walls with stone facing, top floor stucco over timber frame, tile roof","Flat land, near edge of alluvial plain","Brothers (c. 2 km), Albury (c. 6 km), Fox Pk (c. 12 km), Hunter (c. 15 km), Opawa (c. 15 km)"
FGPS,Fox Glacier Park Board Headquarters,Low Landslide Susceptibility,,"Concrete floor of light, 1-storey, building with timber-tramed and clad walls, tile roof",Broad lowland floodplain. Offset channel of Fox River,Alpine (Fiordland-Kaniere) (c. 0.7 km) 
FJDS,Franz Joseph DOC,Stable,,"Concrete floor of light, 1-storey, timber-framed galvanised iron clad shed. Walls concrete to 0.6m.","On flat land, close to 20m scarp.",Alpine (Fiordland-Kaniere) (c. 1 km) 
FKPS,Wellington Frank Kitts Park,Stable,,"Concrete floor 1-storey car parking building, reinforced-concrete frame, concrete panel walls, concrete roof",Reclaimed land adjacent to Wellington harbour (Frank Kitts Park),"Wellington (Hutt Valley) (c. 1 km), Ohariu S (c. 6 km), Pukerua-Shepherds (c. 9 km), Moonshine (c. 9 km), Whitemans (c. 12 km)"
FOZ,Fox Glacier,Low Landslide Susceptibility,,On concrete floor of purpose-built instrument vault,On ridge crest part way up moderately steep conical hill,Alpine (Fiordland-Kaniere) (c. 5 km) 
FTPS,Featherston School,Stable,,"Concrete floor of light, 1-storey, timber framed building.","Broad flat alluvial valley, 1 km from western side.","Wairarapa-Nicholson (c. 0.9 km), Wellington (Tararua East) (c. 8 km), Wellington (Hutt Valley) (c. 12 km), Bidwill (c. 12 km), Martinborough (c. 14 km)"
FXBS,Foxton Beach School,Stable,,Concrete floor of light timber-framed house.,Flat plain,"Himatangi Anticline (c. 7 km), Poroutawhao (c. 11 km), Levin Anticline (c. 14 km), Shannon A (c. 20 km), "
GDLC,Greendale,Stable,,"Concrete floor of triple ""Skyline"" type garage (light timber frame, iron cladding).","Canterbury Plains, 30 km from range front, 20 km from the coast.","Hororata (c. 18 km), Springbank (c. 19 km) "
GISS,Gisborne 2ZG,Stable,,"Concrete floor of single-storey garage with concrete block walls, steel roof joists, galvanised iron roof. (Approximate dimensions 10m x 6m)","Flat site on progradational beach sands, about 0.5 km from sea, and about 1km from one side of large (c.12km x 12km) plain.","Raukumara F3 (c. 4 km), Hikurangi Subduction Zone, Raukumara F6 (c. 15 km), OtokoToto F7 (c. 16 km), Repongaere F4 (c. 17 km)"
GLWS,Glynn Wye,Low Landslide Susceptibility,,"Concrete floor of shed, timber frame, timber wall cladding, iron roof cladding",River terrace (about 1km x 3km) in valley of Waiu River. Surrounded by steep hill country.,"Hope 1888 (c. 0.3 km), Kakapo (c. 1 km), Clarence SW (c. 11 km), Hanmer (c. 20 km), "
GMTS,Greymouth Telecom,Low Liquefaction Susceptibility,5,Concrete floor of 2-storey reinforced-concrete shear-wall building,Flat site on coastal flood plain (about 2km wide),Brunner  Anticline (c. 9 km) 
GORS,Gore District Council,Stable,,,Alluvial plain of Mataura River. The river bed is 7m below the valley floor.,"Hokonui (c. 9 km), Spylaw (c. 18 km) "
GWTS,Gisborne Waipaoa Water Treatment Plant,Stable,,"Concrete floor of 2-storey concrete-block building with light roof. The building is on piles (Stuart Read, pers comm) and the floor level at the accelerograph site is about 1m above the level of the surrounding ground.","Flat site adjacent to Waipaoa River. Near centre of large plain (5km from hills on either side, 4km from closest hills upriver, about 7km from coast)","Repongaere F4 (c. 8 km), OtokoToto F7 (c. 8 km), Raukumara F6 (c. 10 km), Raukumara F3 (c. 13 km), Hikurangi Subduction Zone"
HAFS,Harihari Fire Station,Stable,,"Concrete floor of light, 1-storey, timber-framed garage, iron and fibrolite cladding, iron roof (about 10m x 10m)","Gently sloping floodplain of Wanganui River, adjacent to steeply sloping foothills of Southern Alps",Alpine (Fiordland-Kaniere) (c. 5 km) 
HCDS,Hastings Civil Defence Headquarters,Stable,2,Concrete floor of concrete block building with light roof. The building also has r-c columns supporting steel roof I-beams. (Approximate dimensions 11m x 11m),"Near centre of broad (15km wide - 20km long) alluvial plain, about 10m above MSL.","Napier 1931 (c. 2 km), Tukituki  Thrust (c. 8 km), Waipukurau-Poukawa (c. 17 km) "
HDWS,Haast DOC Workshop,Stable,,"Concrete floor of light, 1-storey, timber-framed shed, galvanised iron cladding (about 20m x 20m)",Broad (>2km wide) flat coastal plain close to Haast River,Alpine (Fiordland-Kaniere) (c. 3 km) 
HECS,Hamilton ECNZ,Stable,,"Concrete floor of 1-storey, high-stud, reinforced concrete building (rcsw), corrugated asbestos roof, 6m x 30m",Flat alluvial plain,Kerepehi C (c. 36 km) 
HIZ,Hauiti,Stable,,On concrete floor of purpose-built instrument vault,Spur on side of ridge in moderately-steep hill country,Turi N (c. 23 km) 
HMCS,Hokitika Medical Centre,Stable,10,"Concrete floor of 1-storey, concrete-block, garage with iron roof.","Flat site on coastal plain, 4km wide. Floodplain of Hokitika river",Brunner  Anticline (c. 14 km) 
HNPS,"Havelock North, St Lukes School",Low Landslide Susceptibility,,"Concrete floor of partial basement (5m x 20m) at one end single storey wooden building (school hall). The basement has reinforced-concrete walls to 1m height, then timber frame for 1m.","Part-way up low, gently sloping, ridge.","Napier 1931 (c. 6 km), Tukituki  Thrust (c. 8 km), Waipukurau-Poukawa (c. 18 km), Kidnappers Anticline (c. 20 km), "
HOCS,Levin Horowhenua College,Stable,,"Concrete floor of basement boiler house. The boiler house is of reinforced concrete construction, walls and ceiling (approx 4m x 8m, 3m high) and is beneath one corner of a much larger timber framed classroom block. The classroom block is single storied and has a tile roof.",Flat alluvial plain,"Levin Anticline (c. 1 km), Poroutawhao (c. 4 km), North Ohariu (c. 6 km), Shannon A (c. 9 km), Himatangi Anticline (c. 14 km)"
